,domain_name,field_name,subfield_name,name
135681,Life Sciences,Agricultural and Biological Sciences,Plant Science,Symbiotic Nitrogen Fixation in Legumes
135722,Physical Sciences,Computer Science,Information Systems,Agile Software Development in Software Engineering
135769,Social Sciences,Social Sciences,Sociology and Political Science,Foucauldian Governmentality and Neoliberalism Studies
135954,Social Sciences,Decision Sciences,Management Science and Operations Research,Robust Optimization for Risk Management and Finance
136618,Life Sciences,"Biochemistry, Genetics and Molecular Biology",Molecular Biology,Protein Aggregation and Biopharmaceutical Stability
136717,Social Sciences,"Economics, Econometrics and Finance",Economics and Econometrics,Economic Development and Policy Analysis in Emerging Markets
136770,Physical Sciences,Mathematics,Applied Mathematics,Complex Analysis and Operator Theory
136838,Physical Sciences,Mathematics,Statistics and Probability,Statistical Methods for Sensitive Survey Questions
136869,Physical Sciences,Engineering,Aerospace Engineering,Optimization Techniques for Antenna Arrays
136951,Social Sciences,Social Sciences,Political Science and International Relations,Digital Sovereignty in Transition Economies
137070,Life Sciences,Agricultural and Biological Sciences,"Ecology, Evolution, Behavior and Systematics",Ecology and Management of Stink Bugs
137286,Physical Sciences,Materials Science,Materials Chemistry,Self-Assembly of Block Copolymers in Nanotechnology
137289,Life Sciences,Neuroscience,Cognitive Neuroscience,Physics of the Mind and Cognitive Science
137800,Social Sciences,Social Sciences,Sociology and Political Science,Max Weber's Contributions to Sociology and Social Theory
137924,Social Sciences,Social Sciences,Demography,Volunteer Tourism and Global Development Impacts
138706,Social Sciences,"Business, Management and Accounting",Strategy and Management,Corporate Social Responsibility and Financial Performance
139037,Physical Sciences,Physics and Astronomy,"Atomic and Molecular Physics, and Optics",Cavity Optomechanics and Nanomechanical Systems
139332,Social Sciences,Arts and Humanities,Literature and Literary Theory,Literary Studies and Criticism
139660,Physical Sciences,Engineering,Mechanical Engineering,Hydraulic Fracturing in Shale Gas Reservoirs
139670,Physical Sciences,Engineering,Electrical and Electronic Engineering,Wireless Energy Harvesting and Information Transfer
140660,Social Sciences,"Business, Management and Accounting",Accounting,Legal Aspects of International Trade and Shipping
140724,Physical Sciences,Mathematics,Algebra and Number Theory,Arithmetic of Multiple Zeta Values and Related Functions
140933,Social Sciences,"Economics, Econometrics and Finance",Economics and Econometrics,Tax Policy in the Age of Automation
141030,Social Sciences,Arts and Humanities,Visual Arts and Performing Arts,Comics and Medicine: Interdisciplinary Perspectives on Graphic Narratives
141656,Social Sciences,Social Sciences,Sociology and Political Science,Ethical Implications of Torture and Interrogation Practices
141713,Social Sciences,Social Sciences,Political Science and International Relations,Global Human Rights and Development
141926,Social Sciences,Social Sciences,Education,Recognition of Prior Learning in Higher Education
142131,Health Sciences,Medicine,Pulmonary and Respiratory Medicine,Silymarin in Liver Diseases and Cancer Treatment
142293,Social Sciences,Social Sciences,"Geography, Planning and Development",Human Settlement in the Pacific Islands
142328,Physical Sciences,Environmental Science,Environmental Engineering,Groundwater Flow and Transport Modeling
142589,Physical Sciences,Engineering,Architecture,Innovations in Engineering Education and Curriculum Development
142739,Physical Sciences,Mathematics,Geometry and Topology,Geometric Function Theory and Complex Analysis
142763,Social Sciences,Social Sciences,Political Science and International Relations,Legal and Policy Dimensions in Transnational Contexts
142768,Social Sciences,Social Sciences,Political Science and International Relations,Collaborative Federalism and Governance in Commonwealth Nations
142812,Social Sciences,Decision Sciences,Information Systems and Management,Science Policy and Innovation Management
142826,Social Sciences,Social Sciences,Sociology and Political Science,Emotional Labor in Workplace Environments
142946,Life Sciences,Neuroscience,Cognitive Neuroscience,Visual Hallucinations in the Visually Impaired
142952,Physical Sciences,Environmental Science,"Management, Monitoring, Policy and Law",Landslide Hazards and Risk Assessment
143046,Physical Sciences,Chemistry,Physical and Theoretical Chemistry,Chemical Reactions Involving Quantum Tunneling
143066,Health Sciences,Health Professions,General Health Professions,Motivation and Career Choices in Dentistry
143538,Social Sciences,"Business, Management and Accounting",Strategy and Management,Governance of Cooperatives and Mutual Associations
143619,Social Sciences,Arts and Humanities,Philosophy,Studies on the Work of Louis Althusser
143875,Social Sciences,Arts and Humanities,History,Transformation of European Political Thought and Culture
144478,Life Sciences,Agricultural and Biological Sciences,Food Science,Drying and Dehydration of Food Products
144491,Physical Sciences,Energy,Fuel Technology,Future Development of China's Coal Industry
144606,Physical Sciences,Physics and Astronomy,"Atomic and Molecular Physics, and Optics",Dusty Plasmas: Interdisciplinary Research Field
144615,Physical Sciences,Materials Science,"Electronic, Optical and Magnetic Materials",Magnetostriction in Magnetic Materials
144665,Physical Sciences,Physics and Astronomy,Acoustics and Ultrasonics,Wave Control in Complex Media
144903,Physical Sciences,Materials Science,Biomaterials,Biomimetic Nanotechnology in Material Synthesis and Assembly
144913,Physical Sciences,Engineering,Electrical and Electronic Engineering,Failure Analysis of Integrated Circuits
145707,Life Sciences,"Biochemistry, Genetics and Molecular Biology",Biotechnology,Microbial Pigments and Their Applications
146424,Physical Sciences,Earth and Planetary Sciences,Oceanography,Multiscale Seafloor Mapping and Classification Techniques
146437,Physical Sciences,Engineering,Control and Systems Engineering,Cloud Robotics and Automation Research
146541,Social Sciences,Social Sciences,Sociology and Political Science,Black Liberation Theology and Social Justice
146671,Health Sciences,Medicine,Complementary and alternative medicine,Traditional Chinese Medicine and Healthcare Practices
146711,Social Sciences,Social Sciences,Political Science and International Relations,Depoliticisation in British Politics and Society
147050,Health Sciences,Medicine,"Radiology, Nuclear Medicine and Imaging",Aristolochic Acid Nephropathy and Urothelial Cancer
147393,Social Sciences,Social Sciences,Gender Studies,Gender Roles and Urban Environments in Turkey
147436,Social Sciences,Social Sciences,Cultural Studies,Body Art and Modification Practices in Society
147612,Social Sciences,Arts and Humanities,Religious studies,Canon Law and Religious Studies
147765,Physical Sciences,Engineering,Civil and Structural Engineering,Automated Pavement Inspection and Maintenance
148146,Social Sciences,Social Sciences,Sociology and Political Science,Understanding Human Connection to Places
148778,Physical Sciences,Engineering,Biomedical Engineering,Technical Aspects of Biodiesel Production
148910,Social Sciences,Social Sciences,Public Administration,Challenges and Practices in Social Work Profession
148936,Physical Sciences,Mathematics,Numerical Analysis,Numerical Optimization Techniques
149229,Social Sciences,Psychology,Developmental and Educational Psychology,Education and Learning Strategies
149259,Social Sciences,Psychology,Applied Psychology,Motivation and Transfer in Training and Development
149262,Social Sciences,"Business, Management and Accounting",Strategy and Management,Developing Strategic Thinking Competency in Organizations
150019,Physical Sciences,Engineering,Control and Systems Engineering,Process Fault Detection and Diagnosis in Industries
150117,Social Sciences,Social Sciences,Political Science and International Relations,Reform of Family Law and Democratic Progress
150148,Physical Sciences,Mathematics,Geometry and Topology,Geometry and Stability of Kähler Metrics
150166,Social Sciences,"Business, Management and Accounting",Accounting,Global Bankruptcy Law and Financial Distress
150192,Physical Sciences,Computer Science,Artificial Intelligence,Multi-label Text Classification in Machine Learning
150228,Social Sciences,Social Sciences,Political Science and International Relations,World-Systems Analysis and Global Economic Development
150250,Physical Sciences,Physics and Astronomy,Condensed Matter Physics,First-Principles Calculations for III-Nitride Semiconductors
150277,Social Sciences,Arts and Humanities,History,Cultural and Political Shifts in 1960s and 1970s America
150280,Social Sciences,Arts and Humanities,Religious studies,Interfaith Relations in Medieval Iberia and Colonial Legacy
150287,Physical Sciences,Physics and Astronomy,Statistical and Nonlinear Physics,Innovative Methods in Physics Education
150291,Health Sciences,Medicine,Pulmonary and Respiratory Medicine,Aortic Atherosclerotic Disease and Embolic Events
150334,Physical Sciences,Engineering,Aerospace Engineering,Accelerator Technology and Superconducting Cavities
150430,Life Sciences,Agricultural and Biological Sciences,Insect Science,Entomopathogenic Fungi as Biocontrol Agents
150465,Health Sciences,Medicine,Pathology and Forensic Medicine,"Biological, Epidemiological, and Clinical Aspects of Echinococcosis"
150843,Health Sciences,Health Professions,General Health Professions,Healthcare Policy and System Reform
151032,Physical Sciences,Chemistry,Organic Chemistry,Synthesis and Biological Activities of Oxazolones
151064,Social Sciences,Decision Sciences,Management Science and Operations Research,Multi-Criteria Decision Making
151117,Health Sciences,Medicine,"Public Health, Environmental and Occupational Health",Ethical and Legal Issues in Medicine
151357,Social Sciences,Social Sciences,Education,Dimensions and Applications of Employability in Higher Education
151431,Physical Sciences,Engineering,Biomedical Engineering,Supercritical Fluid Extraction and Processing
152332,Physical Sciences,Engineering,Civil and Structural Engineering,Mechanics and Transport in Unsaturated Soils
152357,Physical Sciences,Environmental Science,Nature and Landscape Conservation,Biogeography and Conservation of Neotropical Freshwater Fishes
152414,Social Sciences,Psychology,Social Psychology,Psychology of Heroism and Courage
152470,Social Sciences,"Business, Management and Accounting",Accounting,Islamic Banking and Finance Literature Review
153215,Life Sciences,"Biochemistry, Genetics and Molecular Biology",Genetics,DNA Barcoding for Lepidoptera Taxonomy and Evolution
153444,Physical Sciences,Computer Science,Artificial Intelligence,Particle Filtering and Nonlinear Estimation Methods
153523,Physical Sciences,Earth and Planetary Sciences,Geophysics,Mantle Dynamics and Earth's Structure
153770,Social Sciences,Social Sciences,Sociology and Political Science,Critical Race Theory in Education
153978,Physical Sciences,Environmental Science,"Management, Monitoring, Policy and Law",Conservation Science and Policy Advocacy
154050,Physical Sciences,Computer Science,Computer Vision and Pattern Recognition,Activity Recognition in Pervasive Computing Environments
154494,Physical Sciences,Computer Science,Information Systems,Postdigital Education and Technological Transformation
154615,Social Sciences,Social Sciences,Sociology and Political Science,Critical Theory and Social Pathologies
155603,Physical Sciences,Computer Science,Computer Vision and Pattern Recognition,Digital Image Correlation Techniques
155614,Life Sciences,"Biochemistry, Genetics and Molecular Biology",Physiology,Influence of Magnetic Fields on Biological Systems
155789,Physical Sciences,Engineering,Mechanical Engineering,Microchannel Heat Transfer and Cooling Technology
155924,Social Sciences,Social Sciences,Sociology and Political Science,Stalking and Cyberstalking Research
155959,Physical Sciences,Computer Science,Computer Networks and Communications,Distributed Fault Tolerance and Consistency in Systems
155960,Physical Sciences,Engineering,Biomedical Engineering,Nanotechnology and Nanoscale Science Education
155975,Social Sciences,"Business, Management and Accounting",Organizational Behavior and Human Resource Management,Thematic Analysis of Mission Statements in Organizations
156095,Physical Sciences,Engineering,Ocean Engineering,Rotational Seismology and Engineering Applications
156309,Social Sciences,"Economics, Econometrics and Finance",Economics and Econometrics,Spatial Shift-Share Analysis in Economic Development
156823,Social Sciences,"Economics, Econometrics and Finance",Finance,Application of Real Options in Investment Strategies
157033,Physical Sciences,Earth and Planetary Sciences,Space and Planetary Science,Archaeological Remote Sensing using Remote Sensing Techniques
157217,Health Sciences,Health Professions,"Physical Therapy, Sports Therapy and Rehabilitation",Professional Socialization in Athletic Training Education
157238,Social Sciences,Social Sciences,Sociology and Political Science,Intersections of Freedom of Speech and Civil Rights
157278,Social Sciences,Arts and Humanities,Archeology,Maritime Archaeology in the Mediterranean Sea
157463,Physical Sciences,Computer Science,Information Systems,Exploration of Smart Learning Strategies
157584,Physical Sciences,Engineering,Biomedical Engineering,Acoustic Wave Biosensors and Thin Film Resonators
157699,Social Sciences,Social Sciences,Law,Evolution of Legal Systems and Governance
157701,Social Sciences,Social Sciences,Education,Heutagogy and Lifelong Learning
157718,Social Sciences,"Business, Management and Accounting",Strategy and Management,Investment Strategies of Sovereign Wealth Funds
157733,Physical Sciences,Chemical Engineering,Catalysis,Ammonia Synthesis and Electrocatalysis
157766,Social Sciences,Arts and Humanities,Philosophy,Ethical Theories and Moral Philosophy
157834,Physical Sciences,Computer Science,Computer Networks and Communications,Data Stream Management Systems and Techniques
157873,Social Sciences,"Economics, Econometrics and Finance",Economics and Econometrics,Economic and Environmental Dynamics of New Zealand
157962,Physical Sciences,Materials Science,"Surfaces, Coatings and Films",Antireflective Thin-Film Materials
157963,Physical Sciences,Computer Science,Information Systems,Impact of Information Technology Infrastructure on Various Sectors
158029,Social Sciences,"Economics, Econometrics and Finance",Economics and Econometrics,Economic Reforms in India Since 1991
158037,Social Sciences,Social Sciences,Sociology and Political Science,Local Turn in Peacebuilding and Resilience Governance
158084,Social Sciences,"Business, Management and Accounting",Management of Technology and Innovation,Innovation in Management Practices and Strategies
158261,Physical Sciences,Materials Science,Biomaterials,"Nanocellulose: Properties, Production, and Applications"
158395,Social Sciences,"Economics, Econometrics and Finance",Economics and Econometrics,Development Economics and Policy in Latin America
158500,Physical Sciences,Physics and Astronomy,"Atomic and Molecular Physics, and Optics",Foundations of Quantum Mechanics and Interpretations
159123,Social Sciences,"Business, Management and Accounting",Business and International Management,Drivers and Impediments for Cross-Border E-Commerce
159711,Health Sciences,Medicine,Complementary and alternative medicine,Traditional Chinese Medicine in Modern Science
159830,Social Sciences,Psychology,Social Psychology,Psychological and Sociocultural Aspects of Extreme Sports
161313,Social Sciences,"Economics, Econometrics and Finance",Economics and Econometrics,Economic Policy and Public Finance Research
161611,Health Sciences,Health Professions,General Health Professions,Challenges in Elderly Care and Aging Population
161757,Social Sciences,Arts and Humanities,Literature and Literary Theory,Multimodal Literacy in Education and Society
161848,Physical Sciences,Engineering,Computational Mechanics,Characterization of Surface Roughness in Optical Components
161854,Physical Sciences,Engineering,Building and Construction,Applications of 3D City Models
162068,Physical Sciences,Computer Science,Computer Networks and Communications,Decentralized Inference in Wireless Sensor Networks
162127,Physical Sciences,Engineering,Civil and Structural Engineering,Design and Management of Water Distribution Networks
162165,Life Sciences,Agricultural and Biological Sciences,Animal Science and Zoology,Effects of Beta-Adrenergic Agonists in Livestock
162254,Life Sciences,Agricultural and Biological Sciences,"Ecology, Evolution, Behavior and Systematics",Bluetongue Virus and Culicoides-Borne Diseases in Europe
162313,Physical Sciences,Environmental Science,Global and Planetary Change,Environmental Impacts of Fukushima Nuclear Disaster
162338,Social Sciences,Social Sciences,"Geography, Planning and Development",Map Projections and Geodesy Algorithms
162357,Social Sciences,Social Sciences,Health,Impact of International Migration on Public Health
162364,Social Sciences,Social Sciences,Law,Legal Remedies and Corrective Justice in Law
162428,Physical Sciences,Computer Science,Computer Networks and Communications,Networks on Chip in System-on-Chip Design
162448,Social Sciences,Arts and Humanities,Philosophy,"Art, Ethics, and Aesthetics in Philosophy"
162450,Health Sciences,Nursing,Nutrition and Dietetics,Dietary Fiber and Human Health
162548,Social Sciences,"Business, Management and Accounting",Organizational Behavior and Human Resource Management,Corporate Human Rights Obligations and Responsibilities
162758,Physical Sciences,Mathematics,Statistics and Probability,Statistical Analysis of Benford's Law Phenomenon
162769,Health Sciences,Medicine,Surgery,Mechanisms and Management of Paraquat Toxicity
162869,Social Sciences,Arts and Humanities,Visual Arts and Performing Arts,Visual Culture and Society in Modernity
162899,Health Sciences,Health Professions,Pharmacy,Risk Factors for Gingival Overgrowth in Medication Use
162974,Social Sciences,Arts and Humanities,Philosophy,Philosophical Exploration of Nietzsche's Works and Influence
162982,Physical Sciences,Engineering,Aerospace Engineering,Radiometric Calibration and Performance Monitoring
163026,Health Sciences,Medicine,Emergency Medicine,Factors and Risks in Restraint-Related Deaths
163061,Life Sciences,Agricultural and Biological Sciences,Plant Science,Cultivar Evaluation and Mega-Environment Investigation
163115,Social Sciences,Psychology,Applied Psychology,Maslow's Hierarchy of Needs and Human Motivation
163319,Social Sciences,"Business, Management and Accounting",Marketing,The Evolution of Integrated Marketing Communication
163932,Social Sciences,Psychology,Clinical Psychology,Rational Emotive Behavior Therapy in Psychological Health
164197,Physical Sciences,Mathematics,Applied Mathematics,Theory and Applications of Fractional Differential Equations
164448,Physical Sciences,Mathematics,Geometry and Topology,Foundations of Geometric Mathematics
164495,Social Sciences,"Economics, Econometrics and Finance",Finance,Analysis of Impact Investing in Finance and Social Policy
164533,Health Sciences,Medicine,Emergency Medicine,Challenges and Innovations in Emergency Medicine
164710,Physical Sciences,Mathematics,Geometry and Topology,Cluster Algebras and Triangulated Categories
165261,Physical Sciences,Mathematics,Statistics and Probability,Random Matrix Theory and Its Applications
165341,Social Sciences,"Economics, Econometrics and Finance",Finance,Causes and Consequences of Eurozone Financial Crisis
165441,Social Sciences,Decision Sciences,"Statistics, Probability and Uncertainty",Measurement and Uncertainty Evaluation
165861,Physical Sciences,Materials Science,Materials Chemistry,Nanoscale Thermal Transport in Carbon Materials
165916,Physical Sciences,Earth and Planetary Sciences,Earth-Surface Processes,Coastal Dynamics and Climate Change Impacts
166222,Physical Sciences,Physics and Astronomy,Astronomy and Astrophysics,Space Weather and Magnetospheric Physics
166236,Social Sciences,Arts and Humanities,Conservation,Evolution of Interior Design Education and Practice
167070,Physical Sciences,Materials Science,"Electronic, Optical and Magnetic Materials",Nonlinear Optical Materials and Properties
167555,Social Sciences,Arts and Humanities,Conservation,Archival Science and Digital Preservation
167917,Life Sciences,Agricultural and Biological Sciences,Plant Science,Vegetable Grafting Techniques and Applications
168408,Physical Sciences,Chemistry,Organic Chemistry,Self-Assembly and Molecular Recognition in Chemistry
168483,Social Sciences,Social Sciences,Anthropology,Philippine Nationalism and History
168496,Physical Sciences,Engineering,Building and Construction,Smart Parking Solutions and Management
168517,Physical Sciences,Engineering,Industrial and Manufacturing Engineering,Fabric Defect Detection in Industrial Applications
168541,Social Sciences,Social Sciences,Sociology and Political Science,Sociological History and Epistemic Practices
168556,Social Sciences,Arts and Humanities,Philosophy,Mimetic Theory and Violence in Religion and Culture
168686,Physical Sciences,Computer Science,Artificial Intelligence,Logic Programming and Knowledge Representation
168882,Physical Sciences,Physics and Astronomy,Statistical and Nonlinear Physics,Theoretical and Computational Physics
168926,Social Sciences,"Economics, Econometrics and Finance",Economics and Econometrics,Urban Development and Economic Impact Analysis
168967,Social Sciences,Arts and Humanities,Philosophy,Critical Hermeneutics and Interpretation Studies
169208,Physical Sciences,Physics and Astronomy,Astronomy and Astrophysics,Finsler Geometry in Physics and Cosmology
169983,Social Sciences,"Business, Management and Accounting",Strategy and Management,Global Trends in Industry Self-Regulation and Compliance
170001,Physical Sciences,Earth and Planetary Sciences,Paleontology,Evolutionary Dynamics of Mammals and Their Ancestors
170103,Physical Sciences,Computer Science,Information Systems,Mobile Learning in Higher Education
170237,Social Sciences,"Business, Management and Accounting",Strategy and Management,The Role of Online Dispute Resolution in Global Trade
170296,Physical Sciences,Chemistry,Organic Chemistry,Organic Chemistry and Catalysis
170323,Health Sciences,Medicine,Rheumatology,Omental Pathologies and Mimicking Conditions
170365,Social Sciences,"Business, Management and Accounting",Accounting,Business Law and Competitive Advantage
170381,Social Sciences,Social Sciences,Sociology and Political Science,Media Influence on Middle Eastern Politics
170404,Physical Sciences,Computer Science,Computational Theory and Mathematics,Iterative Algorithms for Nonlinear Operators and Optimization
170420,Social Sciences,Arts and Humanities,History,History of Public Health and Medicine
170484,Physical Sciences,Environmental Science,Pollution,Microbial Nitrogen Cycling in Wastewater Treatment Systems
170698,Life Sciences,Agricultural and Biological Sciences,Food Science,Impact of Food Processing on Nutrient Composition
170827,Social Sciences,Social Sciences,Political Science and International Relations,Intergovernmental Relations in Multinational Federations
170855,Social Sciences,Arts and Humanities,History,Meaning and Understanding in Historical Ideas
170881,Health Sciences,Health Professions,Speech and Hearing,Mental Health and Well-being in Veterinary Profession
170887,Social Sciences,Arts and Humanities,History and Philosophy of Science,Evolution and Impact of Scholarly Publishing Practices
170898,Social Sciences,Social Sciences,Political Science and International Relations,Impact of Private International Law on European Union
170942,Physical Sciences,Environmental Science,"Management, Monitoring, Policy and Law",Environmental History of the United States
170952,Social Sciences,Arts and Humanities,Philosophy,Theoretical and Comparative Study of Religion
170976,Social Sciences,Arts and Humanities,Archeology,Ancient Magical Practices and Beliefs
171095,Physical Sciences,Materials Science,"Electronic, Optical and Magnetic Materials",Coexistence of Ferromagnetism and Metallic Conductivity in Organic Molecular Metals
171107,Physical Sciences,Engineering,Control and Systems Engineering,System of Systems Engineering and Design
171157,Physical Sciences,Materials Science,Polymers and Plastics,Self-Healing Polymer Materials
171464,Social Sciences,Arts and Humanities,Archeology,Paleoparasitology and Ancient Health Conditions
171621,Health Sciences,Medicine,Complementary and alternative medicine,Herbal Medicine for Mental Health Treatment
171712,Social Sciences,Social Sciences,Cultural Studies,Exploration of Posthumanist Performativity in Social Sciences
171713,Social Sciences,Arts and Humanities,Visual Arts and Performing Arts,Art as an Investment and Market Dynamics
171714,Social Sciences,Arts and Humanities,Philosophy,Discourse Analysis and Argumentation Studies
171721,Physical Sciences,Computer Science,Computational Theory and Mathematics,Automata Theory and Formal Languages
171735,Physical Sciences,Engineering,Computational Mechanics,Dynamics of Turbulent Combustion Systems
171756,Social Sciences,Social Sciences,"Geography, Planning and Development",Changing Geographies of Religion in Modernity
171776,Physical Sciences,Earth and Planetary Sciences,Oceanography,Oceanic Modeling and Circulation Studies
172009,Life Sciences,Agricultural and Biological Sciences,Food Science,History and Future of Food Irradiation
172021,Physical Sciences,Energy,General Energy,Energy Supply and Security Issues for Developed Economies
172201,Physical Sciences,Materials Science,"Electronic, Optical and Magnetic Materials",Multiferroic and Magnetoelectric Materials
172483,Social Sciences,Psychology,Developmental and Educational Psychology,Children's Perceptions of Scientists and Engineers
172546,Social Sciences,Social Sciences,Sociology and Political Science,Youth Identity Politics in Contemporary Russia
172611,Health Sciences,Health Professions,Complementary and Manual Therapy,Therapeutic Applications of Clay Minerals in Health
173167,Physical Sciences,Materials Science,Materials Chemistry,Nanomaterials and Mechanical Properties
173310,Social Sciences,Social Sciences,Political Science and International Relations,British and International Counterinsurgency Strategies
173416,Physical Sciences,Computer Science,Computer Networks and Communications,Ad Hoc Wireless Networks Research
173933,Social Sciences,Social Sciences,Sociology and Political Science,Ethical and Societal Implications of Doping in Sport
174510,Physical Sciences,Engineering,Industrial and Manufacturing Engineering,Scheduling Problems in Manufacturing Systems
175440,Social Sciences,Arts and Humanities,History and Philosophy of Science,History of Science and Technology
175739,Social Sciences,"Business, Management and Accounting",Strategy and Management,Conceptualizing the Circular Economy and Sustainable Supply Chains
176520,Social Sciences,Social Sciences,Transportation,Disaster Management and Urban Resilience Strategies
176578,Life Sciences,Agricultural and Biological Sciences,Food Science,Nutritional and Functional Potential of Ancient Grains
176594,Physical Sciences,Chemistry,Inorganic Chemistry,Chemical Crystallography
176602,Social Sciences,Arts and Humanities,History,Baseball's Influence on American Culture and Society
176817,Physical Sciences,Engineering,Mechanical Engineering,Mechanical Behavior of Laminated Glass Structures
176865,Social Sciences,Arts and Humanities,Philosophy,Philosophy of Ludwig Wittgenstein and his Influence
176891,Social Sciences,Arts and Humanities,Philosophy,Christian Theology and Philosophical Reflections
176914,Social Sciences,Arts and Humanities,Language and Linguistics,Subgrouping and Linguistic Diversity of Semitic Languages
177006,Health Sciences,Veterinary,Small Animals,Enteric Diseases in Animals and Humans
177013,Social Sciences,Arts and Humanities,Religious studies,"Religion, Feminism, and Social Justice in History"
177458,Physical Sciences,Earth and Planetary Sciences,Paleontology,Paleoredox and Paleoproductivity Proxies
177601,Physical Sciences,Computer Science,Information Systems,Digital Competence in Education and Workforce Development
177724,Social Sciences,Social Sciences,Education,Islamic Studies and Education Research
177733,Health Sciences,Health Professions,"Physical Therapy, Sports Therapy and Rehabilitation",Physical Education and Sports Science Research
177777,Physical Sciences,Computer Science,Computer Vision and Pattern Recognition,Interactive Evolutionary Music Systems and Instruments
177837,Physical Sciences,Computer Science,Information Systems,User Authentication Methods and Security Measures
178079,Social Sciences,Arts and Humanities,General Arts and Humanities,Cultural Studies and Innovation in Humanities and Social Sciences
178267,Social Sciences,Arts and Humanities,Philosophy,Philosophical Thought in Ancient Greece and Rome
178322,Social Sciences,Arts and Humanities,History and Philosophy of Science,Logical Empiricism and Philosophy of Science
178494,Physical Sciences,Engineering,Mechanical Engineering,Railway Engineering and Material Science
178642,Social Sciences,Social Sciences,Political Science and International Relations,Legal and Social Transformations in Europe
178646,Social Sciences,Social Sciences,Anthropology,The Intersection of Anthropology and Military Operations
178704,Social Sciences,Arts and Humanities,Literature and Literary Theory,"Literature, History, and Cultural Studies"
178722,Physical Sciences,Chemistry,Organic Chemistry,Chemical Composition and Bioactivity of Maple Syrup
178723,Health Sciences,Medicine,Surgery,Management of Spontaneous and Iatrogenic Hematomas
178746,Physical Sciences,Engineering,Mechanical Engineering,Design Thinking and Engineering Design Processes
178767,Health Sciences,Health Professions,General Health Professions,Evolution and Challenges of Healthcare in Brazil
178768,Social Sciences,"Business, Management and Accounting",Strategy and Management,Public-Private Partnerships in Infrastructure Development
178770,Social Sciences,Social Sciences,Law,Intellectual Property Law and Policy Analysis
178825,Physical Sciences,Mathematics,Applied Mathematics,Nonlocal Partial Differential Equations and Boundary Value Problems
178948,Social Sciences,Arts and Humanities,Literature and Literary Theory,Adaptation Studies in Literature and Film
179184,Social Sciences,Arts and Humanities,Literature and Literary Theory,Short Story Cycles in Global Literature
179189,Life Sciences,Agricultural and Biological Sciences,"Ecology, Evolution, Behavior and Systematics",Evolution and Sustainability of Livestock Farming Systems
179225,Social Sciences,Social Sciences,Political Science and International Relations,Nazi Germany and Postwar Europe
179551,Physical Sciences,Computer Science,Computer Networks and Communications,Mobile Agent Technology in Network Management
179573,Health Sciences,Health Professions,Speech and Hearing,Problem Solving in Health and Education
179661,Physical Sciences,Environmental Science,"Management, Monitoring, Policy and Law",Assessment of Rural Sustainable Development Potentialities
179709,Life Sciences,"Biochemistry, Genetics and Molecular Biology",Cancer Research,Development of Protein Phosphatase Inhibitors as Anticancer Agents
179974,Life Sciences,Agricultural and Biological Sciences,Agronomy and Crop Science,Challenges and Prospects in Russian Agriculture
180006,Social Sciences,Arts and Humanities,Literature and Literary Theory,The Pervasiveness of Fairy Tales in Culture
180151,Social Sciences,"Business, Management and Accounting",Strategy and Management,Regulatory Competition in European Company Law
180394,Social Sciences,Arts and Humanities,Literature and Literary Theory,Intercultural Literature in Latin America
180447,Social Sciences,Social Sciences,Anthropology,Colonialism and Post-Colonialism in Africa
180824,Social Sciences,Arts and Humanities,Language and Linguistics,Occitan Language and Culture Studies
180924,Social Sciences,Arts and Humanities,History,Ceremonial and Authority in Medieval Rome
181118,Physical Sciences,Physics and Astronomy,Nuclear and High Energy Physics,Holographic Derivation of Field Theories and Gravity
181136,Social Sciences,Social Sciences,Cultural Studies,Drug Trafficking and Cultural Representation in Latin America
181183,Physical Sciences,Engineering,Electrical and Electronic Engineering,Fuel Cell Membrane Technology
181269,Social Sciences,Psychology,Developmental and Educational Psychology,Vocabulary Acquisition in Second Language Learning
181982,Social Sciences,Social Sciences,Demography,Struggles for Independence in Hispanic World
182191,Health Sciences,Medicine,Rheumatology,Elongated Styloid Process Syndrome: Clinical and Anatomical Study
182254,Social Sciences,Social Sciences,Political Science and International Relations,Political Thought of Hannah Arendt
182775,Social Sciences,Social Sciences,Law,Globalization of Law and Legal Methodology
183054,Health Sciences,Medicine,"Public Health, Environmental and Occupational Health",Health-Related Quality of Life in Aging Population
183062,Physical Sciences,Physics and Astronomy,"Atomic and Molecular Physics, and Optics",Interactions of Low-Energy Electrons with Matter and Atoms
183176,Social Sciences,Social Sciences,Political Science and International Relations,Global Governance and Legitimacy in International Relations
183283,Physical Sciences,Engineering,Building and Construction,3D Concrete Printing Technology
183471,Physical Sciences,Engineering,Biomedical Engineering,Biomechanical Analysis of Golf Swing Performance
183472,Social Sciences,"Business, Management and Accounting",Management of Technology and Innovation,Mass Customization and Product Modularity
184429,Physical Sciences,Engineering,Building and Construction,Analysis and Modeling of Urban Street Networks
184681,Social Sciences,Social Sciences,Education,Character Education in Educational Settings
184986,Physical Sciences,Engineering,Mechanical Engineering,Modeling and Assessment of Pipeline Corrosion Damage
185075,Physical Sciences,Environmental Science,"Management, Monitoring, Policy and Law",Sustainability Assessment and Impact Evaluation
185256,Health Sciences,Medicine,"Pediatrics, Perinatology and Child Health",Maternal and Child Health Services and Non-Communicable Disease Prevention
185417,Social Sciences,Arts and Humanities,Philosophy,Development of Political Thought in Early Modern Era
